""	"QC1_001"	"HU_neg_017"	"HU_neg_018"	"HU_neg_020"	"HU_neg_021"	"HU_neg_027"	"HU_neg_028"	"HU_neg_032"	"HU_neg_034"	"QC1_002"	"HU_neg_037"	"HU_neg_041"	"HU_neg_043"	"HU_neg_044"	"HU_neg_047"	"HU_neg_048"	"QC1_003"	"HU_neg_049"	"HU_neg_050"	"HU_neg_051"	"HU_neg_052"	"HU_neg_055"	"HU_neg_060"	"HU_neg_061"	"QC1_004"	"HU_neg_064"	"HU_neg_065"	"HU_neg_066"	"HU_neg_068"	"HU_neg_072"	"HU_neg_077"	"HU_neg_078"	"QC1_005"	"HU_neg_079"	"HU_neg_083"	"HU_neg_086"	"HU_neg_088"	"HU_neg_089"	"HU_neg_090"	"HU_neg_091"	"HU_neg_093"	"HU_neg_094"	"QC1_006"	"HU_neg_099"	"HU_neg_100"	"HU_neg_101"	"HU_neg_105"	"HU_neg_107"	"HU_neg_108"	"HU_neg_109"	"HU_neg_110"	"QC1_007"	"HU_neg_116"	"HU_neg_118"	"HU_neg_123"	"HU_neg_125"	"HU_neg_126"	"HU_neg_127"	"QC1_008"	"HU_neg_130"	"HU_neg_131"	"HU_neg_132"	"HU_neg_133"	"HU_neg_134"	"HU_neg_138"	"QC1_009"	"HU_neg_144"	"HU_neg_148"	"HU_neg_149"	"HU_neg_150"	"QC1_010"	"HU_neg_152"	"HU_neg_154"	"HU_neg_156"	"HU_neg_157"	"HU_neg_158"	"HU_neg_163"	"HU_neg_170"	"HU_neg_171"	"QC1_011"	"HU_neg_172"	"HU_neg_173"	"HU_neg_174"	"HU_neg_175"	"HU_neg_179"	"HU_neg_180"	"HU_neg_181"	"HU_neg_182"	"QC1_012"	"HU_neg_184"	"HU_neg_185"	"HU_neg_186"	"HU_neg_189"	"HU_neg_192"	"HU_neg_196"	"QC1_013"	"HU_neg_200"	"HU_neg_201"	"HU_neg_202"	"HU_neg_204"	"HU_neg_207"	"HU_neg_208"	"HU_neg_209"	"QC1_014"	"QC1_001_b2"	"HU_neg_022_b2"	"HU_neg_076_b2"	"HU_neg_166_b2"	"HU_neg_114_b2"	"HU_neg_190_b2"	"HU_neg_139_b2"	"HU_neg_096_b2"	"HU_neg_058_b2"	"HU_neg_031_b2"	"QC1_002_b2"	"HU_neg_039_b2"	"HU_neg_087_b2"	"HU_neg_143_b2"	"HU_neg_162_b2"	"HU_neg_102_b2"	"HU_neg_188_b2"	"HU_neg_095_b2"	"HU_neg_062_b2"	"QC1_003_b2"	"HU_neg_063_b2"	"HU_neg_011_b2"	"HU_neg_074_b2"	"HU_neg_122_b2"	"HU_neg_142_b2"	"HU_neg_030_b2"	"HU_neg_187_b2"	"HU_neg_167_b2"	"HU_neg_113_b2"	"QC1_004_b2"	"HU_neg_081_b2"	"HU_neg_014_b2"	"HU_neg_206_b2"	"HU_neg_119_b2"	"HU_neg_033_b2"	"HU_neg_067_b2"	"HU_neg_140_b2"	"HU_neg_164_b2"	"HU_neg_193_b2"	"HU_neg_112_b2"	"QC1_005_b2"	"HU_neg_097_b2"	"HU_neg_056_b2"	"HU_neg_195_b2"	"HU_neg_135_b2"	"HU_neg_159_b2"	"HU_neg_070_b2"	"HU_neg_038_b2"	"HU_neg_026_b2"	"QC1_006_b2"	"HU_neg_098_b2"	"HU_neg_115_b2"	"HU_neg_137_b2"	"HU_neg_019_b2"	"HU_neg_073_b2"	"HU_neg_168_b2"	"HU_neg_191_b2"	"HU_neg_040_b2"	"HU_neg_046_b2"	"QC1_007_b2"	"HU_neg_103_b2"	"HU_neg_015_b2"	"HU_neg_053_b2"	"HU_neg_121_b2"	"HU_neg_183_b2"	"HU_neg_199_b2"	"HU_neg_042_b2"	"HU_neg_075_b2"	"QC1_008_b2"	"HU_neg_203_b2"	"HU_neg_024_b2"	"HU_neg_082_b2"	"HU_neg_169_b2"	"HU_neg_129_b2"	"HU_neg_057_b2"	"HU_neg_035_b2"	"HU_neg_194_b2"	"HU_neg_145_b2"	"QC1_009_b2"	"HU_neg_177_b2"	"HU_neg_025_b2"	"HU_neg_080_b2"	"HU_neg_117_b2"	"HU_neg_136_b2"	"HU_neg_197_b2"	"HU_neg_036_b2"	"HU_neg_054_b2"	"HU_neg_085_b2"	"QC1_010_b2"	"HU_neg_160_b2"	"HU_neg_092_b2"	"HU_neg_023_b2"	"HU_neg_124_b2"	"HU_neg_147_b2"	"HU_neg_205_b2"	"HU_neg_084_b2"	"HU_neg_120_b2"	"HU_neg_198_b2"	"QC1_011_b2"	"HU_neg_045_b2"	"HU_neg_029_b2"	"HU_neg_069_b2"	"HU_neg_155_b2"	"HU_neg_106_b2"	"HU_neg_146_b2"	"QC1_012_b2"
"6-(carboxymethoxy)-hexanoic acid"	487300	100821	786451	230059	1331796	70202	505247	86139	113251	443441	147774	178416	620895	60391	132933	619628	434501	221852	844086	33252	148650	44976	1008447	152577	528950	92250	370656	844136	971181	696614	170154	835008	487603	113157	935767	238241	303710	141290	313322	190555	48639	331854	491252	778474	425333	116121	63002	320554	28118	26261	180986	428174	101427	110161	422142	431919	297945	786586	398077	191735	285057	454343	308461	415509	1162605	365851	618039	191430	480010	19759	376221	667102	71438	37503	272911	56109	276023	202052	100227	334131	132635	25070	162000	730660	297848	65242	74275	52704	297112	94602	26993	32316	338001	427272	38049	265953	358810	684658	369169	1038663	29767	76068	305483	234207	1010609	484998	204614	1904396	1629695	4158817	6186087	607.5	1093909	2704196	1186063	979331	852201	345849	1403502	134990	276081	2848519	740498	1286529	1252684	159195	1482989	1926751	4075274	2306187	178006	66691	2305114	1038602	5094645	287135	1614465	1132712	274933	661725	2642772	455733	1305824	719008	1133723	207720	1057714	547619	1142407	938556	425186	27889	312943	1009812	891582	1795317	1398919	529377	410604	148265	716168	1989118	1266912	1003724	1318163	555985	196456	296219	224307	845952	944862	845662	760273	711813	266150	550679	77972	1563954	370790	1513273	865333	2328222	727727	439586	453417	787202	1026481	607.5	1844365	449347	1701461	1498609	641408	1366565	366954	273774	1220242	347028	1988680	92100	276205	645112	661930	121953	439986	1184617	73876	328102	485630	349819
"9-Methylxanthine"	11193796	3482545	2472030	5878607	12707100	1968599	4730603	10848349	5185722	9885357	2218465	4890069	23422221	4198060	1329946	13823606	10387355	11151736	10112108	163972	20682566	2701831	11870020	2142155	9563627	5967138	5582298	11749255	11544688	6683851	9948437	4844781	9437375	6669252	8105768	19434338	11430715	20314423	13775259	8230291	3250629	14266236	9433700	13717950	12620689	773619	2372706	13227977	1284583	590427	1429180	8816871	3097542	4101833	1872094	3921447	7223300	3688391	7502941	3153418	4933149	3785519	18525741	5753218	15153665	7797685	13135426	7423496	11752623	2252599	6450395	11862865	3081943	3446115	2668719	1405524	3479905	2268296	2938145	5621933	2890091	1727204	6276041	5731008	7248735	2721010	2024057	1109705	5061287	905654	278243	5818657	3839227	4997395	11363040	4877117	7627628	9785036	1762476	4752070	2717898	1337608	3097767	3895224	22714777	38539337	36094253	28309457	34368288	21657153	28842822	62818	18365031	22535800	23748288	71133623	14819462	23120549	27824506	13291143	2256924	29600997	36509200	22377673	8942994	27227023	13149497	65752669	8643944	21624621	7504338	11702362	9301430	20435839	21715864	8497108	20617405	7808108	32410789	3491939	6318179	19596410	8705057	44277093	18618993	8398849	21403405	8730504	20144493	40224321	7656712	911840	25402981	19108241	10323538	17014484	8052888	13344300	6073237	31801700	9504232	11727953	13075832	17466386	26541282	10875890	2756815	20547711	27355349	24866898	20634987	18449412	14842540	5178958	5297799	15844496	7349562	34059792	7614812	11744150	13118723	25536053	13925057	8454656	10952437	23695831	11853595	7070757	7802782	14074996	5191662	32124259	12140890	718475	4225286	8448318	11042657	9396033	5593544	4259983	2204912	7290689	11122753	11650909	7252139	10868116	5677158	12586074	4753255	9961251
"Acetaminophen glucuronide"	13740891	506.5	38978	44220	506.5	2536	2395	506.5	506.5	12769771	50114	506.5	35250	506.5	506.5	70225	13574067	15445	506.5	74056	2406787	90264580	44654	506.5	12369804	13626	506.5	173173	506.5	506.5	506.5	30340	12279307	123510	506.5	506.5	17439	61392	4339094	35701	506.5	506.5	12656525	6785058	36273	506.5	506.5	506.5	506.5	506.5	52910471	11530219	34910641	506.5	213196	32198	506.5	506.5	10219505	506.5	506.5	78891	506.5	146488	506.5	10147777	506.5	46747	11690	506.5	9762219	40702	18919	16330	595239	16565	506.5	506.5	4580570	8242711	506.5	506.5	506.5	506.5	506.5	506.5	506.5	19536	7970695	17192	506.5	506.5	82635	209760	27076	7256101	506.5	204499	506.5	22214	17622	506.5	506.5	6318092	21910180	89704	2520485	110607	39095	607.5	2209290	607.5	4210839	607.5	21788199	20955	61334	580965	46629	116038	607.5	607.5	607.5	20914212	504761	44504	607.5	607.5	607.5	607.5	607.5	607.5	78328	18686749	80103	607.5	134269	224051974	2101138	64349	607.5	55036	104303799	59889	18216889	4757	607.5	34045	63428	27872459	607.5	607.5	113408257	18124292	607.5	607.5	31396	29198305	607.5	133523	607.5	8125367	607.5	15904732	607.5	607.5	607.5	8221636	607.5	32970	821526	607.5	14408573	143205	607.5	607.5	607.5	607.5	607.5	16146374	607.5	38846	13863699	70411	44997	13292	607.5	607.5	181791	607355	13789	1947449	11891156	189745474	607.5	607.5	607.5	607.5	11380	12016751	2576327	607.5	11144433	607.5	12160	58793	607.5	64919	227346	9500588
"Acetylphenylalanine"	521965	58457	433254	324637	294429	158540	362205	276626	321132	597198	71569	112319	8801	296561	287079	1007945	620309	1211931	647046	100650	378886	255753	1585956	177169	586009	104968	965340	497298	784019	1114102	384648	654360	642321	144237	874848	506161	338822	242025	632695	675821	238400	5571	575141	384887	679987	49709	249920	353761	21489	49993	211447	526873	515284	237240	1936043	270837	530315	490982	488363	562921	474623	360539	180999	501937	233444	440813	563525	529710	1046119	231478	466585	484679	245468	186679	266847	286711	793713	1073336	216951	436311	440081	452784	752416	935159	337642	958282	114504	246473	370381	343779	163836	146262	1111432	321884	476576	349257	586463	189427	430291	290836	425811	55332	165622	321618	971949	1614846	368356	1628172	3244652	279540	572433	2726	435191	452277	915087	1613511	2326319	797681	1168103	1231557	257867	887179	760931	869119	3011253	689608	1808605	1069205	1648705	606125	220902	529622	829089	969005	1539241	760695	848858	2320581	1294843	766475	200598	939229	943730	760434	907761	445498	371523	667730	583126	496614	731364	142369	10991	829856	1251987	1065528	468600	629796	1246803	486994	343725	646307	1379653	776598	1178728	466834	854524	217358	535155	174760	296792	793376	426410	403497	302318	572481	509493	637030	503467	351180	1046810	458108	601356	869955	96257	393684	139095	104331	359997	460735	312751	356222	311484	281561	541115	59438	210317	572395	192357	454988	1047600	342338	392372	223793	138848	302764	323145	171546	83421	147710
"alpha-N-Phenylacetyl-glutamine"	72714704	19019649	76438715	56835035	63269004	44820959	79649191	56333240	45066291	67447579	45896477	30060342	72830452	24778561	57375330	82346548	65498954	49738776	58914214	17795116	47296871	51437363	99056778	34489712	63193139	37337664	63083681	69937664	87056356	65742192	91725257	51920337	59892177	68040208	53922564	81485217	68733885	56427257	62467276	71609756	35782243	46483054	59911630	45611824	85738670	14470584	43337302	40855749	12883732	24700177	59487334	55786172	74362057	38729859	75658028	54686668	58074105	47896639	50594437	26011878	26435112	36778046	72553278	53697884	69071342	47654523	39707170	46941946	74860561	12447952	48400184	56390761	26737235	25812989	53257832	28818864	39562974	42015805	21871658	41692901	37521796	19795657	37077601	45349850	26959632	26366387	30093517	30669184	37862340	33863609	21637160	12473399	53134500	43532079	66593839	33427850	49037432	31483246	34012493	56494264	35125958	16804406	30374353	30479176	80894585	93892126	55150717	97095866	86510187	62233554	52647957	1216671	92761291	64914287	82610194	97996635	96682241	87820995	49897809	137353765	45561767	87076573	115744942	88076467	127749259	105845895	73877737	121540220	85985610	59684010	47219617	55698643	100992252	85162823	100551139	48256198	98366505	119821778	124211531	77965874	62423735	69613975	73546273	115234400	78593364	67464495	63338944	64931555	92494747	62994801	74353164	25974677	80624050	75594370	72017724	73762434	61816833	72408960	98854589	44904875	53477982	52811467	115362149	74499660	88780028	50178459	42117728	55367275	60545813	102737092	82272021	65871200	70647014	68282242	57352857	47252870	53673512	55983009	58548763	61817735	44169518	74082541	59608437	57343017	87372736	92655420	81613610	37446017	73108516	40932437	73957830	54023848	60354398	40152279	40851716	38914855	49754342	31896002	56061873	37485507	63555282	39990568	53729381	35250321	25986154	72777637	22406120	85426960	55256692	57013185
"Aminosalicyluric acid"	1133074	368194	1105708	69560	135924	62847	464260	241447	1748484	984106	480415	210195	406039	1496224	364919	891627	1113372	169079	2572620	34244	918070	879138	1711228	824425	1029108	354705	1098602	1110263	2724638	3800867	1647782	680251	1035983	604001	856976	2350128	1148721	375061	1265650	1270484	657009	465557	1049773	326532	1309437	125875	2605726	511174	39606	172748	156320	908428	1681415	717563	1109329	890992	522830	1009271	857012	1465346	558058	734414	671802	563979	2072965	828615	740117	672169	1746738	1059181	762012	1224431	799847	105549	2108604	98679	272505	560821	164702	666005	190870	1158745	1072796	237057	48375	647694	180304	429182	593219	148977	9974	507226	165866	252673	98680	520048	1212696	307595	58937	304648	186122	114673	56516	509725	1687436	1327191	482363	2626653	1737284	632465	1270979	607.5	390343	203483	1938259	6647760	2495064	1811611	2650533	4773443	177386	387012	677635	1805860	460232	1169018	420212	2788576	90560	243580	81997	4001147	385458	1693049	1268903	379160	1193294	3057856	2761768	1538023	1670686	646899	424302	6016819	1638922	788163	619121	1812329	1415358	4764833	856753	261700	300022	1593894	3191637	1009268	1449991	492131	257104	73115	225552	4390926	1011450	1382981	1021477	769354	112295	44388	2175061	965745	940518	2208789	1223698	54992	405783	335695	3782355	1159166	630205	575851	2396077	396162	1153530	2280240	626451	65581	931429	262861	400527	3758150	1419565	455451	1064058	28139	448160	509897	2417119	1647107	573586	1395045	192544	3298607	1064775	432684	714508	965175	695907	1108821	179327	940918
"Aspartic acid"	1129177	610518	1655213	1060270	1263086	640409	854442	512489	640847	1177041	745471	712303	1249153	350097	649790	2332312	1178326	1871709	1081268	442992	742137	631210	1003284	870162	1108970	432885	542460	1331989	1209435	1013093	1390859	875074	1150256	729741	1175521	1351735	1778031	1200256	1700856	702201	640795	1209073	1178499	1027680	1097227	1066615	647151	950657	299635	496975	938594	1102415	583041	381386	1400908	896891	802916	1515820	976010	612384	1021941	671050	1139425	1010364	1291322	917509	1197949	439015	2027710	296868	857259	1071249	456559	817841	848373	615782	724885	654234	365684	794928	511733	265402	454552	1461717	978781	277543	249711	288669	726383	458144	520448	234448	1021883	710290	735726	670800	721277	1109638	731238	615675	450237	348147	547382	555108	2324386	1646158	1788528	2714513	1841637	2978241	2755391	74461	1512390	1564572	2320442	1681143	2045300	1495806	1986960	1747658	1651836	2966309	2771107	2238051	4807822	2065902	2173774	2313462	3182958	3067768	2100648	867240	4527118	2348084	2188806	1068956	1386156	826581	2627950	1866509	2482854	1942622	4622229	1949940	2078350	1941290	1535252	1525199	2462636	4022350	1684158	471789	1952939	2066319	1244513	1769749	1986687	2896361	1468697	1700850	1991574	2462815	2881560	1991695	1802395	1765440	813510	2396736	1090829	2222568	1795723	2099466	1700462	1845486	753756	2357018	391801	999450	1809514	1541546	2155701	2157506	1643449	1200173	2145486	2696038	1207837	477793	3523794	1457584	1476577	1645045	1483522	2063449	1976498	667694	1742250	1204626	1672034	782264	933221	1342409	1339643	1058946	1060150	1808675	874630	1442885	1553580	1205197
"Asp-Leu/Ile isomer 1"	985078	62737	2445334	130473	613300	1039639	336948	197695	683797	916489	420677	146112	664386	25487	206772	655832	862204	571832	1599545	25550	174736	420839	340613	157397	811593	119210	742977	351277	285442	1647137	1196473	1610930	852982	319800	511182	504136	1864811	304727	344316	764091	64490	374191	865605	304969	491326	119766	161959	367180	69650	55997	87255	680071	78873	79986	2555777	734568	864783	492535	699248	3736133	237024	431867	450021	1616237	475054	589292	1576105	176481	509804	48491	576452	356427	78702	117241	667221	89776	251036	292488	69768	524407	168232	24599	200584	297040	310564	1176174	170496	62577	437366	524512	41549	413330	462154	579136	240796	440737	1166593	740672	190310	326616	189795	40602	511208	345443	1254051	281508	245108	273952	569419	730609	678094	607.5	494815	1301913	1192639	1165415	917601	318679	265972	5405773	150121	692922	6800706	1203006	731979	213201	477009	700751	975835	515123	98124	242969	691184	1150293	491614	200763	730555	280490	666883	430953	482566	511421	857346	1907337	1057871	858737	301492	346707	1155191	291161	1837109	227172	132684	941402	415416	549092	820199	1371112	663848	232251	732002	438599	324964	929766	711158	358932	66450	140161	163880	1095900	393762	315811	747526	712240	187860	1636001	100936	212452	705208	401497	469354	420377	654246	4034189	267738	348434	824831	64745	416552	204742	467086	337514	623068	261646	2776410	176421	339748	1069025	1813567	46620	330671	287603	550025	69129	186687	244306	30249	187273	313634	509960
"Asp-Leu/Ile isomer 2"	420080	67585	485201	86592	318181	633629	259297	98118	178508	322186	59009	63203	239580	35415	101220	334942	286987	99469	394563	3629	59409	221969	182240	84509	297167	60392	164376	246419	210849	485316	656042	391043	285148	181774	370293	176748	1121396	242067	297852	218410	19765	144139	309373	264162	415719	109634	116319	172135	23589	37621	62836	266742	55619	80480	1804023	209881	340433	238897	260127	1762968	82763	121031	163128	1014044	223911	245350	854274	51568	143440	57601	246389	238716	61145	54352	347807	56289	116341	84267	37221	205740	78403	12812	88776	324906	180380	732102	61954	50227	197373	252267	31816	133482	129951	170131	156526	183138	535921	224021	102499	109072	64045	15228	195654	160565	510889	133308	123172	236372	330000	409827	552647	607.5	151224	490044	494917	372846	450596	233315	108120	36959	84386	326448	2419629	490123	343345	120525	156043	378962	553094	270299	74427	83389	458103	457628	360675	48720	130820	203926	385287	184351	167668	335937	386597	891461	435439	409419	124579	176477	391295	176402	365952	114461	103143	398451	166914	275509	328934	424877	232207	163719	341445	214950	180082	387910	337118	186766	16861	84478	90484	602313	189464	224736	329431	170152	101885	473364	64029	100428	77773	108051	105328	393124	307776	1185144	188402	170921	458026	12823	241143	108064	181820	144979	234207	205124	1584891	66709	127395	364091	403274	27314	198921	45837	223566	51710	101191	142341	21364	95369	133558	197369
"Azelaic acid"	5667915	1044542	5881176	2854115	4631083	1953027	4930953	2688727	4918966	5489897	5370450	2602728	4080560	2610254	3830880	4508902	5635908	6294455	6466960	1488282	6040198	970430	5674157	2181212	5464537	1620969	8025407	3755772	6393026	2546590	4847913	5761787	5554396	2633051	3763359	5004164	3891231	4508325	8336287	7007270	2588706	5104246	5394245	6161106	5896476	1331969	3570628	2445918	1171843	2385213	3186914	4934920	1905842	3103335	4644817	3157852	2680536	3885931	4396155	3264506	2190642	8594684	3393922	6432466	4785810	4038890	3957579	6678597	3309643	1010770	3672083	3191258	6387224	2052557	1697850	3766362	7950986	5622361	2902626	3295435	6327039	6070834	3861474	4765949	2067890	2572264	1659933	2830258	3025120	1530073	2540639	3236418	4434819	4117819	6141107	2895947	3009709	3479317	3196117	2922272	3416427	1517984	3367390	2494615	9185172	9884544	7487446	7633671	7093063	11211084	12664931	386580	27307519	6586677	9033551	14640600	6076371	3590725	3477072	10816426	2882647	13471634	19850226	9109515	9678799	11501794	5828222	12125095	10963199	4217958	2040088	7222165	12900700	8414442	4762228	4622197	10715151	6348002	14758826	4427605	6492019	2930008	10337764	17546284	8337202	5148605	5170034	10920251	17705077	4872260	7324178	2045580	3815011	7793454	4658844	3206841	9745070	13377919	8769116	8462473	11468540	4043089	4199710	6982312	5413780	4877822	3549864	3372691	9071189	5566033	8668239	6654604	6033104	4149595	3791142	17227514	2292959	6851452	5179249	8560569	3677246	15996936	6071282	5143493	6798260	7248751	6114032	1459904	5577464	4383685	6655102	7721411	4976657	8736457	3635575	2549095	7462677	3585528	10037793	2087616	5528994	5779052	4688665	1334949	5955441	6112614	4435336	3400900	4411610	4053431
"Benzoic acid isomer"	627832	61493	1278796	461116	152711	148781	278620	604923	761700	686891	901933	687639	712593	183734	792126	997272	679841	1635791	1615311	632639	758791	38759	550792	276131	725149	141717	1621438	175448	776726	307793	931469	578174	669032	257288	384618	3970428	855098	303461	14880	764853	1484002	691246	713443	206752	944880	46253	762211	105749	47221	104822	69688	674470	291297	172914	518717	954866	254750	584440	662858	1200695	851025	657547	491901	569019	1040433	659801	448209	1419939	507991	3015	638959	277993	111103	349739	496468	332460	506809	1535854	905743	580900	446317	912795	336192	89296	100700	788078	45247	191205	548872	229638	52125	585381	185856	402021	592341	518451	293274	187758	142217	1576589	413588	342306	909500	476556	1121226	526210	1167555	101466	652038	185941	272163	607.5	1551378	1440888	1152115	3704323	242331	223235	951500	1077267	308999	742653	2459732	1210002	809744	446084	1220718	1024353	296873	454961	724952	501473	181875	1246354	1567402	2147312	5320683	1616235	1223141	62811	2666747	697082	309762	511823	1270991	1324607	1006751	100127	269095	576813	825600	147734	304585	1306926	2551169	858352	623956	1548003	346560	597557	106257	1273822	931636	1242275	1268409	160796	386017	95017	107818	527412	1499286	639026	1173227	186524	129258	340274	118408	1735429	1784232	512851	5172164	291154	1141550	574802	262155	302272	1442991	1069837	194190	1550274	461659	537206	1164806	114998	1135025	371446	1759590	1283886	1756737	936916	580946	4303809	1051934	200066	442708	106909	1595425	1204114	585911	1193809
"Chenodeoxycholic acid isomer"	173251	37938	223098	26758	157380	25755	65418	4226	96927	193078	228876	506.5	354216	19066	19565	164271	201323	437375	1014817	506.5	230739	27785	390211	2729	206912	15578	249871	102344	401130	463416	30492	146301	162534	24080	218989	175400	360553	71616	345122	193697	14446	117021	182649	250216	30648	2860	147108	586838	11825	21071	506.5	170575	29217	74837	317319	116888	287493	242673	177491	437661	9861	33602	16870	305564	10260	161457	590228	1510212	393604	22280	155034	44737	506.5	13228	106563	10795	323464	75148	18570	144557	506.5	208874	17078	23813	89950	97132	40949	53004	122852	1013	18117	1374	61037	300579	42463	108560	19413	457688	82708	623017	2065	51950	87048	131040	148759	317088	204108	73352	399663	230723	133536	607.5	205609	607.5	132383	1029745	241573	607.5	257757	24549	33087	352459	607.5	136271	785038	22730	220388	607.5	108626	607.5	29211	17048	220872	156789	608399	29430	150215	263399	739399	14427	607.5	70424	53195	111823	121388	232044	98450	607.5	206448	67465	100274	27139	123586	144008	13029	100077	218432	63359	132442	607.5	60031	121997	236650	98318	121988	338007	66957	24468	18803	2715	102837	108338	77258	4488	51503	108259	17624	607.5	39980	17143	53192	397300	82596	91955	1782	256035	607.5	607.5	51223	46237	183325	91943	78212	85501	296736	51665	30922	58510	8746	47990	117332	57108	70890	607.5	1215	48830	98691	4210	22036	58942
"Cinnamoylglycine"	12556915	3632852	269700	10166539	4824229	4243777	17413627	17626630	6164594	12430336	210064	379070	11362929	5798264	6924959	15878667	12307249	5136942	11785662	5839616	31174307	10549036	25298426	5041215	12105944	2984367	31881632	13904126	22270438	6278960	24794542	8352598	12310535	17088672	19665351	20906844	21393972	7699338	10153280	14447788	5635457	7950458	12301571	8698386	15470293	2221409	22950174	1591583	472702	2478302	6278294	11404675	11611497	8031156	16428485	18604535	11941747	18188419	9982170	5418148	2862181	12942303	19673842	11759507	23389926	9207211	5142433	127777	4944212	12379	8013310	16252339	2844510	2354248	11665410	3311277	5176061	1489992	2444231	7717300	5650169	4496999	9969752	5061003	1310396	13207546	3345818	3988603	6972492	2837690	2036121	61115	5081603	5470568	15549445	6836791	6015147	2578854	3445785	7705653	7602801	2759004	158910	5489065	19546588	18395020	11935035	47835836	21852002	11688609	12122494	39784	3906549	93626069	18704700	10073492	16404007	7854911	37070468	16824194	6520356	6507394	770611	18732002	29108071	8652821	14875738	37536317	19298981	17719633	3963091	5974990	16081530	17330000	33706376	1064425	3148574	43259440	17211026	7415602	198017	8219899	7904564	24385218	16837455	6206683	11417257	6683408	12747755	22901213	16544987	2544399	9375222	16072409	20451005	17981653	20387454	7454357	6338548	916097	4053585	5858357	8430478	14527586	14365282	4813205	3819220	1657599	9653718	25209232	23617369	10813753	12560529	6907040	5826783	10145154	6992931	9158773	11009736	28404061	2038723	10249415	13013417	12321845	7965524	14635607	20738058	2447664	8330660	9840889	7732335	15196753	9937921	7586473	6890522	1835999	17672299	4943751	4708055	13271317	8958894	117606	9616583	2738562	4736424	6919346	14090850	14539768	3834058	1103009
"Citric acid"	209644911	61617349	204581682	126254869	241886473	121340898	273967190	116645444	117378534	206983204	100225167	77868895	303288404	81155651	86913712	162215372	188657141	240383098	146183562	27008284	177531490	115990199	221738778	131211588	183083216	63573402	288412804	264478339	291516350	160610999	179118103	242989434	177820343	64979036	248910631	168830050	231350688	204663627	248417945	172810866	166591893	151877499	176950644	190126687	279601359	48426432	172079571	104766018	32525817	62243657	112041248	161782576	65374877	104278266	138636618	110526238	143986805	173232433	140959824	125615720	88122678	163658557	160140877	191932666	104421791	128178829	137652524	180398086	158514784	50921647	111827782	106025006	115399683	46510946	64667147	87694933	173610125	146701806	89704811	97926749	82472141	62500718	99265651	121876752	160102230	110165988	32833866	61419554	86589104	84521931	24483287	45763716	110012561	77428828	141798825	79785575	60547751	94991996	51885723	87533284	56282727	32517576	73847810	67122719	371881342	385341623	350705982	473152059	357368592	351216377	483751134	12966309	265777877	174191341	385664844	459568077	327845979	298422669	609265171	337730681	150458645	410120736	399062324	377594774	500778424	217549258	678587872	589547778	264787149	223440789	84708390	143748096	579336315	359037755	321002908	233431079	364126476	509148085	449727962	129709332	235036148	289945080	374440820	371254221	330347791	266999416	229990704	101479363	382390098	187242998	226122752	74315872	211337469	311236329	245973912	365267520	291524039	297890056	264790011	294888958	202251059	217984331	378958820	287596082	216036052	228253613	158545420	169041228	280786860	208572546	286029425	268115335	233200035	164277119	156475689	221808992	124296704	252290789	247446691	289593182	200573134	341820646	219025970	112012964	175740869	325200375	125412476	72660030	258515743	164579916	188705089	181235207	182426903	267667702	139942482	132685121	166766804	138730239	185256300	140172294	177424262	160652312	167911409	114993733	136115583	154553156	128272328	168463952	136435305	128489790
"Dehydroepiandrosterone 3-glucuronide"	265148	51019	238139	75899	495536	110362	613478	96458	69499	371640	133988	214266	230063	18212	28165	698773	361560	518455	696838	41343	100449	4365	637957	134977	370825	45247	422613	452407	132484	289521	668373	200784	327416	195011	324678	1791717	694425	356247	329450	203914	87920	289664	330140	691206	525700	117445	123534	676324	58972	76843	17298	297972	153208	183333	184866	118160	362296	231017	305898	274444	348857	142129	343647	499376	426769	249012	659688	5400	543460	31162	278684	389906	104702	184646	216807	29355	124491	154648	171155	201887	212043	19569	131476	133158	337451	47499	48022	56686	251033	103032	10787	26621	335485	161767	2164477	217218	203625	268125	112747	1167791	30125	28708	162376	208835	300359	195719	138151	422399	96559	698075	827346	607.5	185363	451227	255159	340024	497132	48926	100387	215304	114863	506005	207039	282380	214537	260101	201081	276433	296931	240046	23795	7688	266607	254521	341843	41663	391911	799965	141622	61044	142993	56264	489267	169008	295265	58546	180961	148614	230389	278210	134266	607.5	126340	243261	195423	207095	531089	107702	211278	29193	144878	334016	202936	252522	31143	142686	4208	49443	21953	253027	361869	351277	197331	133511	58768	284831	15512	173505	92997	249678	480287	300312	200343	91303	300709	421112	520229	1809	336086	60356	114298	666859	167964	513058	343977	24498	442912	89609	70676	4176	79846	147925	144500	5008	147269	256171	71762	229074	200381	120784
