dataMatrix	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28
v11	28.70690393	28.70904352	28.79004965	28.42872934	28.75011925	28.49765318	28.97442553	28.99671225	28.92593052	29.02425925	28.91046185	28.92557798	28.86255639	28.80550684	28.95086226	29.03716385	28.95928432	28.96560332	28.74409288	28.94650975	28.83461658	29.01612919	29.03053025	28.93930767	28.88355959	28.98927599	28.98417322	28.81011295
v12	30.92301531	31.01103987	30.86959921	30.97845709	31.01692592	31.04852213	30.67960391	30.95968141	31.01713004	30.92450346	30.8468926	30.95910722	31.00133173	30.92984442	30.96162544	30.8341922	30.83331401	30.67714518	30.88825598	30.71827365	31.03177085	30.84993267	30.94582967	30.91555465	30.87472663	30.83621663	30.91629252	30.96949455
v13	29.36983161	29.29180037	29.46739435	29.53907312	29.48947193	29.39701991	29.47841933	29.43123845	29.21254626	29.2095078	29.37268841	29.13982533	29.18052838	29.24917625	29.30253309	29.25049794	29.2703853	29.53468901	29.2549666	29.38479231	29.16054406	29.59377179	29.36520575	29.22499188	29.1417735	29.29004135	29.19361529	29.46213952
v14	31.15294054	31.22883806	31.20838322	31.22935573	31.25990715	31.37718511	31.13712796	31.33275543	31.30730283	31.18884024	31.26329485	31.29562854	31.16303231	31.10465922	31.35604596	31.24432042	31.27008783	31.26932147	31.41658159	31.25062992	31.41770575	31.13584547	31.17384881	31.33325528	31.29262579	31.14725478	31.28960721	31.22856727
v15	29.3494875	29.02550914	29.22193989	28.77326419	29.15551975	29.0729376	29.63351889	29.58303225	29.52300229	29.41465672	29.60185046	29.75096321	28.96860202	29.10060299	29.61794572	29.55048718	29.55513851	28.682726	29.5030306	28.85592209	29.64702314	29.05467055	29.34256221	29.55674903	29.70426398	29.52219011	29.53126282	28.92535432
v16	28.93639703	28.83834904	28.95241342	28.40409169	29.11290858	28.7279569	28.94897796	29.11293339	29.24717334	29.13285489	29.27083026	29.18884733	29.09756184	28.89793988	29.11991948	29.33066254	29.19985758	29.04467627	28.81120151	29.15679136	28.79071927	29.03179273	29.29271425	29.24245701	29.25758797	29.31458269	29.20809829	28.85574648
v17	25.79079442	25.68364981	25.62476445	25.77208387	25.5223544	25.83378892	25.58920252	25.50899873	25.79422348	25.48908429	25.67547728	25.43708913	25.62064158	25.69406516	25.77020343	25.75817146	25.780844	25.63272724	25.60500005	25.73001108	25.74505581	25.61212945	25.51013032	25.60465333	25.66491543	25.88350832	25.9072701	25.7125693
v18	21.67603432	23.0620061	22.07035831	22.20948133	21.15275197	19.89113992	26.42164831	27.25239893	26.78315972	26.32101657	25.88079868	25.86199122	19.93132338	20.49684342	26.00242481	22.11841407	20.43615617	26.26637522	26.02568706	26.07392008	25.76605004	21.91896948	22.15405445	24.98644873	26.21930976	22.17862139	25.47521057	23.76400454
v19	28.5072627	28.63082424	28.68310813	28.27225303	28.76703632	28.51354545	29.23093735	29.6239162	29.45977317	29.27047984	29.41378234	29.31488938	28.55410025	28.16264594	29.52102383	28.87295344	28.82893176	29.22949436	29.46746451	29.11272377	29.50410091	28.31594654	28.89398016	29.35699565	29.3742917	28.65606103	29.32662931	28.33272743
v20	26.33971982	26.55055963	26.42048726	26.07956763	26.44887324	26.38717013	26.54134776	26.69338167	26.85634431	27.02361004	26.70283818	26.72686133	26.59287364	26.65703479	26.51350437	26.65809007	26.51933631	26.58244581	26.24962722	26.82792461	26.4392672	26.82406646	26.864525	26.72740273	26.91271385	26.97912083	26.94084533	26.4025657
v21	28.15639328	27.96712571	27.94904504	27.98952668	28.04673702	27.84965211	30.77080451	30.55295985	30.22989858	30.14654257	30.27703946	30.18683286	27.36295766	27.71228937	30.48714732	28.44445103	28.36081012	30.56547215	30.23860577	30.2880847	30.24213308	28.26993964	28.81446551	30.04638599	30.25930666	27.92444629	30.30439853	28.05467933
v22	26.26204436	26.01610895	26.36019888	26.09707441	26.50460141	25.96589514	26.1289913	26.45805347	26.48130439	26.33282207	26.39555885	26.34908425	26.47517333	26.05943887	26.42895637	26.67504842	26.52146014	26.69396076	26.10017434	26.89295788	25.95585571	26.99855953	26.74772291	26.34892613	26.19844849	26.57617073	26.26962895	26.62137158
v23	28.72245329	28.90509462	28.9673385	28.68763336	29.11183739	28.47472824	28.45353038	29.00850334	28.76774358	28.93537487	29.10663258	29.17625001	28.91919941	28.61407097	29.48514976	29.22436666	29.17926402	29.16125431	28.97914421	29.01099532	29.52828658	29.16402135	29.20664075	29.27697914	29.38520875	29.18317815	29.34168006	29.00433261
v24	29.76699206	29.8636597	29.82892925	30.1432155	29.78161975	29.91266407	29.76493839	29.75389777	29.7691523	29.7585576	29.77832362	29.82659164	29.72341587	29.71207805	29.90403736	29.97367679	30.03379769	29.96444417	29.9261988	30.06291868	30.01585501	30.15319389	29.79442162	29.89807647	29.95438626	29.89565312	29.89194896	30.19057449
v25	28.73549116	28.32030986	28.58240687	27.48681968	28.31028216	28.54817363	28.74912982	28.8697003	28.59613936	28.53393648	29.13032106	29.33118635	28.35532488	28.56641493	28.93241653	28.84030444	28.71463542	28.07648013	28.66380509	28.04274999	28.77937451	27.65257477	28.41689466	28.92629391	29.02930121	28.790418	29.02385552	27.36758459
v26	28.9245909	28.79424937	28.98830919	28.63630411	29.2070322	28.61063931	28.7270733	29.16056899	29.09084269	29.20326465	29.04054258	29.12845427	29.02068345	28.89541867	29.18559292	29.10110335	29.00073246	28.85130784	29.02689048	28.8641133	29.03611608	29.00991095	29.2122957	29.14188106	29.10549502	29.03484211	29.08747547	28.99521491
v27	30.95899354	31.04671937	30.99907882	31.1480582	31.00453098	31.05572794	30.76289365	31.07434647	31.04490835	30.96967003	30.8622307	30.95546838	31.03295089	31.04447133	30.92674416	30.86907766	30.90857376	30.79569042	30.9378042	30.92088209	31.08507383	30.93791292	31.03546816	30.99306925	31.02482111	30.88019577	30.89155446	31.13297738
v28	28.75616588	28.99088041	28.83259	28.53159468	28.87562835	28.80889065	28.27601476	28.48934502	28.84075651	28.91993615	28.66785478	28.64855859	29.22170408	28.98685751	28.81067361	29.06508524	28.95426421	28.87786543	28.6600933	29.10695073	28.61741904	29.16318714	29.24123416	28.79585923	28.76645693	29.27686814	28.88042663	29.33986169
v29	29.01213789	29.10083587	29.19697816	28.84784972	29.30962942	28.80271337	29.2716293	29.79934912	29.6167033	29.52835669	29.53770837	29.61360188	29.18786445	29.06218682	29.6675812	29.18706417	29.20340685	29.30951813	29.61212653	29.24187815	29.54593637	28.99861074	29.44042908	29.55219556	29.61968401	29.05656562	29.55782301	29.04235758
v30	28.09037963	28.16388718	28.11429773	28.44782747	28.06514064	28.11366396	28.27060873	28.44166385	28.46918172	28.3970109	28.44027014	28.34188064	28.03351475	27.99918569	28.45167182	28.22065774	28.24098882	28.48729369	28.37253697	28.52218197	28.52257938	28.44286619	28.09146864	28.44274877	28.52816625	28.23455858	28.49266762	28.38412078
v31	28.87964485	28.75781847	28.92741376	28.98551738	28.89126761	28.8687863	29.06703317	28.90246896	28.74244781	28.71757728	28.83836327	28.67685184	28.71201852	28.87196604	28.80343321	28.81850689	28.73819351	29.10521413	28.71771846	28.87691501	28.7453158	29.15868072	28.93340251	28.72443319	28.77353937	28.7906969	28.70382449	28.97282864
v32	28.60782943	28.59088579	28.71562093	28.43449703	28.88888721	28.30918114	28.64186653	28.70210175	28.61551144	28.54420781	28.5114133	28.5635225	28.90315424	28.68812724	28.55706211	28.90635831	28.87395058	28.64931057	28.44040677	28.67164947	28.31199604	28.98546605	28.92506514	28.45089056	28.57738595	28.77756576	28.47618687	28.80891342
v33	27.33808442	27.93742303	27.41858097	27.73329581	27.91374716	27.77000164	27.27995143	28.05609208	28.0079474	27.49728235	27.86546512	27.97113918	27.88918067	27.82262111	27.93624667	27.95984898	27.9083348	27.84658037	28.06160785	27.90602988	28.16181801	27.84902076	28.0690298	28.02380071	28.03294332	27.89592238	27.92235393	28.07902311
v34	30.17359724	30.30738011	30.18971765	30.00581589	30.31721593	30.24585601	30.14454451	30.39036566	30.28101708	30.23055116	30.26780482	30.3209549	30.26834053	30.37445582	30.38474252	30.36277444	30.20605791	30.41158973	30.38236888	30.37393872	30.38031058	30.07026297	30.10163286	30.31631081	30.30890919	30.28429687	30.26317262	30.15039839
v35	30.77444173	30.90791479	30.74076484	30.55365859	30.6784986	30.82230163	30.58895339	30.69702216	30.57043202	30.56440479	30.46958059	30.53344191	30.7057855	30.71061003	30.49199642	30.63471579	30.73335674	30.25734151	30.532002	30.21368303	30.53763408	30.436972	30.80757151	30.43835278	30.40755408	30.66806705	30.49335952	30.57164804
v36	29.04869889	29.08971345	29.18177041	28.95086964	29.3291547	28.85966284	29.03320974	29.15034044	29.10042237	29.01899458	29.02859711	28.96943492	29.23304355	29.08318648	29.01397585	29.24419497	29.23436093	28.97374404	29.03875358	28.95287168	28.99773777	29.21321668	29.23695475	29.03887011	29.12600018	29.04114326	28.94350613	29.18700676
v37	28.90060934	28.77813881	29.0386255	28.59849941	28.70476064	28.48860424	28.75417065	28.66081352	28.66518756	28.62049068	28.31833	28.60007079	29.0109518	28.68666402	28.49773759	28.9279989	28.98453111	28.92812083	28.71319193	28.59941711	28.44799528	29.00558189	28.71465649	28.38496815	28.52022577	28.90344086	28.44468571	28.79265379
v38	30.02974639	29.7956387	29.97572082	30.14285167	30.14252966	30.07509472	30.24101473	30.45333784	30.138116	30.14137453	30.09011646	30.2126782	29.8609604	30.02200132	30.20078159	30.17410218	30.16633213	29.99410203	30.08366452	29.9825447	30.39057164	30.0786709	30.22115032	30.18774366	30.56276949	30.01270313	30.17573243	30.23749854
v39	28.54803178	28.47617846	28.66505383	28.45663905	28.76402561	28.23329638	28.81519799	28.80632944	28.61664172	28.68596686	28.45788708	28.44477909	28.74428775	28.51802373	28.45223596	28.89568215	28.8134117	28.8246492	28.3528421	28.89481194	28.23215666	29.13241909	29.05963657	28.41666663	28.53862363	28.70275872	28.42250395	28.95448823
v40	31.72446837	31.73730811	31.64852183	32.45007312	31.54443836	31.93081384	31.67668443	31.68861871	31.52520344	31.75025371	31.54110702	31.49463137	31.71645715	31.59187829	31.89102076	31.85305232	31.96603381	32.28958399	31.68745311	32.32879982	31.78978356	32.49647762	31.77995675	31.70991689	31.83847436	31.83394677	31.60453117	32.70319621
v41	28.10208672	28.05999907	28.15450648	27.99521517	28.1902209	27.865996	27.86280211	28.15817836	27.94907649	28.00983784	27.9725461	28.06351062	28.10212645	28.08987716	28.05577824	28.08684632	28.03552538	27.83978535	28.07195886	27.80154349	28.16087377	28.05450297	28.1259436	28.08105752	28.02879235	28.0252026	28.06424148	28.03703613
v42	28.62002837	28.72330295	28.66870627	28.78565012	28.85216134	28.51039464	28.75716586	28.84575926	28.82546116	28.83331652	28.64744503	28.65120589	28.83602858	28.80635777	28.89216424	28.89845516	28.77663845	28.99555204	28.73616965	29.05003445	28.80248363	29.01585858	28.91298753	28.83292255	28.84909609	28.83761119	28.81330699	29.07639646
v43	27.65130806	27.57684425	27.7182424	27.67640198	27.82933631	27.51151139	27.84303131	28.06957973	27.97841188	28.04180986	27.94207237	27.88087742	27.67853889	27.38313446	27.85659479	27.73152268	27.70769667	28.13029357	27.88931911	27.91917285	27.73045044	27.83707611	27.67784607	27.82235153	27.84334163	27.73410727	27.79680417	27.70041347
v44	29.07325165	28.97780178	29.05904304	29.05411871	29.18349636	28.65494703	29.46973347	29.40284423	29.21358292	29.17891372	29.02998526	29.04588612	29.20752587	29.0618804	28.99601336	29.17352923	29.2138162	29.26046936	28.99068534	29.20333097	28.8184436	29.37926413	29.32800046	28.98773674	29.14364852	28.99867048	28.93831818	29.24516678
v45	28.94508085	28.9669875	28.93312449	28.99311107	28.95374043	28.97103952	28.64267037	28.79187987	28.83308851	28.76686785	28.82048741	28.76677819	28.92483117	28.89174422	28.82208044	28.78399206	28.84221509	28.87037262	28.95729497	28.90056107	28.89707657	28.94086925	28.95071998	28.77602985	28.74442183	28.86329351	28.81248405	29.05794315
v46	29.86552034	29.76089838	29.66161285	29.87767684	29.67087297	29.90839748	29.55215029	29.92515888	29.9197707	29.89148744	29.76227497	29.70167069	29.80198725	29.63834012	29.72899032	29.69924551	29.78513324	29.85708261	29.72015469	29.88424422	29.8312476	29.81988262	29.77607725	29.64017464	29.84385455	29.74381222	29.62555747	30.0131705
v47	26.45825453	26.64633226	26.73992767	26.66516695	26.78312134	26.58205927	26.83061868	26.71507928	27.039815	27.20339072	26.85807189	26.75139961	26.65348703	26.41004201	27.17396361	26.87454054	26.97729923	27.38760968	26.84906439	27.44498933	27.6567129	27.24145094	27.29433791	27.50386661	27.2595035	27.05319524	27.57179071	27.25847963
v48	25.66513333	25.96424549	25.83456527	24.93707464	25.81733512	25.66082483	25.5945302	25.74386634	26.05580422	26.05655321	25.91536983	25.80322743	26.00604284	25.99464313	25.86703265	26.17918215	25.75320971	26.07718832	25.37804357	26.00746363	25.69515287	25.91666318	26.17714029	25.97697161	25.95485844	26.08274727	26.11227309	25.66275268
v49	30.7932178	30.80449423	30.77822375	30.6487396	30.72885138	30.77001152	30.43288784	30.7023157	30.701115	30.74773929	30.63422711	30.6406718	30.65588694	30.56841136	30.6835452	30.68577592	30.7678562	30.52982776	30.59385828	30.70404684	30.81410187	30.64407796	30.85681436	30.76494993	30.63692769	30.76169213	30.77304571	30.78366541
v50	30.80228571	30.85217477	30.65740677	30.60926611	30.92037476	30.93539439	30.98696477	31.04202152	31.00484863	31.0017657	31.01861721	31.12702468	30.68677097	30.53866507	31.21230817	30.96611366	30.96617766	30.67956375	31.5447309	30.95480005	31.02454401	30.46350991	30.9832819	31.03170221	31.28147928	30.79076102	31.18327554	30.74135619
v51	29.15950337	29.44534593	29.31655389	28.6135957	29.66896817	29.42217798	29.53957252	29.82636994	29.91778443	29.86138986	29.76906168	30.02963384	29.44895816	29.18170293	29.86767041	29.77779037	29.51558664	28.99683161	30.40048548	29.22888326	30.14066816	28.48269928	29.92103932	29.99560293	30.06799836	29.47274091	30.04473496	28.81788049
v52	27.79368843	27.69242618	27.73749988	27.82311034	27.83433766	27.73281105	28.03514006	27.98015074	27.94373906	27.9906753	28.01333869	28.00928293	27.76039571	27.59312859	27.96473499	27.80266515	27.84138122	28.06474967	28.0635595	27.93573401	27.95215522	27.9217231	27.83003022	27.95331904	27.86911174	27.86496407	28.0017401	27.9238355
v53	28.54966835	28.46666051	28.63053132	28.77371874	28.68995608	28.5320805	28.3729575	28.43771093	28.52413109	28.57754788	28.53815388	28.45160265	28.72393118	28.54572749	28.63698421	28.68319575	28.74339519	28.86841189	28.35755804	28.87793525	28.4498752	29.17570441	28.59570696	28.57994772	28.51772032	28.79413819	28.51320965	29.04104748
v54	27.23920183	27.28453764	27.39473455	26.99043918	27.56620168	26.93029384	27.29301846	27.46913873	27.31544591	27.20358967	27.15169619	27.12658963	27.5830435	27.30047155	27.14938772	27.57541553	27.42923637	27.25281613	27.07270605	27.13706024	26.98850406	27.45674281	27.65510977	27.15993691	27.26285272	27.37264789	27.06464426	27.36910274
v55	27.32491557	27.28709685	27.40895733	26.92447256	27.51614305	26.98323405	27.72053277	27.83715043	27.68722424	27.65030862	27.65650451	27.66355952	27.58650757	27.48768035	27.7239443	27.76884832	27.7171639	27.63866901	27.35247064	27.71492684	27.35233552	27.74499844	27.84291971	27.63467569	27.80839156	27.69576619	27.72380101	27.55044455
v56	26.71926096	26.9562893	26.84621642	26.34913974	26.63978373	26.58559205	27.25491039	27.06062519	27.11158256	27.15748896	27.04132928	27.06547317	26.89228599	27.01601966	27.0987704	27.01876865	26.88771557	27.00925969	26.90101859	27.03019749	26.98714108	27.02334337	27.0305683	26.92103215	27.07840933	26.86703963	27.08366094	26.8223204
v57	27.0741774	26.71597843	27.18463325	26.66417642	27.38924428	26.4842866	27.31381208	27.46670756	27.52883311	27.60144448	27.48759976	27.49295984	27.32070595	26.91639805	27.49349903	27.62301831	27.56552782	27.86777408	27.20252099	27.92822359	26.96427035	27.72548713	27.81512898	27.36982495	27.47528245	27.6124457	27.32156565	27.53032977
v58	30.53216351	30.42822431	30.52414102	30.03779912	30.75735033	30.49521569	30.31295301	30.68786805	30.55934558	30.57263686	30.60002971	30.69524805	30.37271072	30.37698395	30.77022259	30.58460381	30.46993253	29.87620928	30.87675795	29.96389188	30.86325995	29.92861135	30.61922369	30.7302512	30.77009866	30.39133289	30.78421018	29.94439671
v59	27.82112797	27.72543345	27.93123482	27.60774332	28.08996797	27.56504372	27.6735764	27.9248164	27.84434268	27.95162293	27.95757236	27.90483277	28.05291227	27.75376079	28.01134022	28.12774548	28.03292937	28.03137578	27.76816282	28.04156658	27.80910798	28.12791091	28.1676806	27.99590031	27.90836632	28.09850619	27.93130643	28.14683604
v60	26.66495317	26.82520104	26.83915505	26.44985065	26.86687895	26.5082843	26.24627336	25.92718858	26.2166655	26.36426386	25.85558453	26.065485	27.08082289	26.82299164	26.19214259	26.72921599	26.5880138	26.61668636	26.34804692	26.47078608	26.23551688	27.00800333	26.74291649	26.08842692	26.20971424	26.87428884	26.19665585	26.78015335
v61	29.90661017	29.90308601	29.82178916	30.06981964	29.95002667	30.17024325	29.8938816	29.71990452	29.70468783	29.72176988	29.66998223	29.64807677	29.91270682	29.86589956	29.85989417	29.87049971	29.88201085	29.65142161	29.70870303	29.7368763	29.78981718	29.96335253	29.79830854	29.77472323	29.9137132	29.95145343	29.74686916	30.08940425
v62	27.45601381	27.67297073	27.64525702	27.22852852	27.81067577	27.40091252	27.36166433	27.48979432	27.80164679	27.79951157	27.75579335	27.62695601	27.88774011	27.7708035	27.62794004	27.91399773	27.6543313	27.71943938	27.33050731	27.87008388	27.44440338	27.85663174	27.91618927	27.73640162	27.72432826	27.92051233	27.75903145	27.73638851
v63	29.45889256	29.40424908	29.41303595	29.48314918	29.35542544	29.59556721	29.40628547	29.46830012	29.39113265	29.29518024	29.42019347	29.49513333	29.42300059	29.31453609	29.4582703	29.46054889	29.39192754	29.25815783	29.41270667	29.32121908	29.40054385	29.30614946	29.32344913	29.40931725	29.32683295	29.39015019	29.45166314	29.30796079
v64	28.56954703	28.40018694	28.56922112	28.26052463	28.51491796	28.21654532	28.43521421	28.56448318	28.43075561	28.58927419	28.39019586	28.36441042	28.50826302	28.43747042	28.41728223	28.58158482	28.53841015	28.35366739	28.29972284	28.41334308	28.42077443	28.52515946	28.67784543	28.34121991	28.38103896	28.50566499	28.45718497	28.60073574
v65	29.84127486	29.76624136	29.88092635	29.74920462	29.87363213	29.90993409	29.81422404	29.89521571	29.80677852	29.74201178	29.84103573	29.779801	29.67086832	29.64210547	29.88958399	29.81145172	29.7817444	29.56773505	29.7457693	29.6065603	29.93373162	29.62399543	29.70742264	29.86069629	29.86023024	29.79728195	29.83891248	29.66508008
v66	27.76163533	27.79234439	27.84764006	28.50258904	27.74148735	27.97586721	27.55329567	27.67398446	27.78035544	27.85787026	27.74750883	27.79255688	28.15121835	27.92413327	27.84394031	27.998834	28.04752784	28.44193468	27.66717046	28.53386711	27.92083249	28.61378328	27.92709126	27.92153544	28.06097557	28.30247326	27.93138804	28.81397539
v67	27.99839399	27.95796577	27.95128756	27.50926929	27.98833797	27.79636366	28.14428373	28.29876935	28.28011318	28.30293227	28.14434659	28.26356264	28.04208065	27.98452807	28.28559539	27.97572685	27.91785908	27.86629754	28.28287406	27.97916131	28.27211403	27.44613437	28.13368769	28.17300181	28.20427441	27.92125103	28.21640588	27.56297556
v68	29.24128552	29.20829911	29.15588627	29.27606617	29.09542085	29.27239699	29.19208448	29.17097975	29.18536501	29.17403724	29.25584145	29.14845765	29.15325575	28.97651282	29.22353526	29.20130344	29.18677258	29.21788066	29.20781658	29.14682408	29.16546414	29.32454893	29.16195498	29.0924394	29.12520345	29.20409199	29.13309454	29.35767563
v69	30.21471398	30.24988237	30.17824085	30.25789896	30.14001357	30.1117793	30.40209906	30.26764525	30.13791078	30.15825665	30.070828	30.13281709	30.160769	30.34839899	30.10252521	30.24582468	30.30511252	30.12802611	30.29068052	30.08378477	30.21097256	30.29467249	30.30064931	30.0991529	30.21377379	30.08492871	30.16468278	30.20141083
v70	19.21724643	18.71153349	19.42697095	22.75023152	22.26505957	19.18500545	20.80681017	20.93739789	18.61189912	18.43257746	18.98557192	18.62327803	19.14482531	22.16265071	19.00765506	19.37322865	19.66578036	19.20161245	19.51037666	18.2760571	18.75699511	19.64288659	22.26737207	18.75746407	18.73588972	21.85506036	21.45837006	22.61582807
v71	27.67399955	27.72844111	27.75326317	27.27299064	27.84530924	27.5373676	27.52543932	27.67192185	27.98326137	27.98099982	27.90218639	27.86198507	27.9532622	27.62641579	27.91197342	28.00981307	27.91786845	27.99839141	27.64752551	28.01712614	27.73521409	27.99375989	28.08549953	27.90638547	27.97415487	28.05106984	27.94211319	27.77205829
v72	30.44946291	30.38400454	30.46185098	30.2544145	30.47350436	30.57153741	30.33035357	30.44942261	30.45238516	30.44680364	30.50678262	30.4632542	30.36907305	30.36281469	30.46312894	30.40051037	30.38405515	30.19379439	30.53658955	30.1712773	30.44364334	30.13949124	30.4443867	30.43449818	30.20648232	30.32581352	30.48085958	30.17085387
v73	27.91078123	27.98456318	28.03283019	27.7510561	28.12597401	27.83482429	28.34631543	28.49501936	28.30999099	28.28696181	28.39136882	28.51227908	28.09904436	28.02112231	28.53049731	28.23694803	28.17215218	28.49066937	28.55328758	28.35307156	28.28102302	28.08985647	28.21581854	28.37720907	28.528843	28.13530989	28.41621355	27.88282335
v74	29.81622383	29.62146001	29.68564676	29.4843402	29.73287728	29.80048128	29.77291427	29.74230851	29.76492665	29.82749923	29.89788256	29.72985346	29.56722883	29.48030233	29.8541632	29.81259715	29.78445483	29.55199346	29.90899202	29.49104778	29.71584556	29.409159	29.71490065	29.79967451	29.51669913	29.74705137	29.77701025	29.49091635
v75	23.56185637	23.1467012	20.55047414	23.80462066	23.76951403	23.38468443	22.98493661	18.84571083	22.77238717	18.70449164	19.27057835	22.41789564	23.13082379	22.89553026	22.83513435	23.30784923	21.19133638	22.94818095	22.98837256	23.07601309	19.62119358	23.78748663	20.68257781	22.69523828	19.74046974	20.71363152	22.44706027	24.00172533
v76	27.78857596	27.88251674	27.91358301	27.72401645	27.93353678	27.57352481	27.88235143	28.04600923	27.89525982	27.93526318	27.85728853	27.92760275	28.10420201	28.03012742	27.99898486	28.06343096	27.92284306	27.93428225	28.06545147	27.91672659	27.90807335	28.00102397	28.08257561	27.93738478	28.09109362	27.8387471	27.97853338	27.87072301
v77	22.77108773	22.78299781	22.72978544	23.0624474	22.79415019	22.57299044	22.64667725	22.59517939	22.44246417	22.74959982	22.53432176	22.33221196	22.26915394	22.62300045	22.3692576	22.49998149	22.49012655	22.43467671	22.48397269	22.75851308	22.56850078	22.59907449	22.65630778	22.5842892	22.62706336	22.3833639	22.64826223	22.7993002
v78	29.99369788	29.94204614	29.99616313	30.46962008	30.09418016	30.25784114	29.72189397	29.6312469	29.72248591	29.70263012	29.64899945	29.83808132	30.1195016	29.72442309	29.95927981	30.20376126	30.13489519	29.84645039	29.99741407	29.95376396	29.91892018	30.11623194	30.01384316	29.8535578	29.86930108	30.00613223	29.84824059	30.24190011
v79	28.34110995	28.209077	28.37105567	28.08622825	28.34686916	28.17926144	27.65369322	27.73132121	27.63799966	27.60397535	27.75322277	27.88565681	28.16257757	28.24280704	27.80714755	28.38855288	28.4763639	27.93322464	27.82744651	27.75232786	27.98395646	28.26060919	28.17547158	27.75313808	27.90063809	28.44194684	27.79470906	28.01368286
v80	26.66328599	26.84289593	26.95152031	26.77175905	27.23674444	27.1710074	26.76444492	27.14129142	27.27125256	27.24442757	27.6242774	27.47976374	26.85007407	26.41924798	28.03843762	26.94842382	26.95885579	27.66015763	27.77521642	27.54709975	27.68120795	26.55664626	26.8121871	27.49147698	27.65947661	27.12529711	27.60251595	26.45257029
